match_id,opponent,turnover_id,x,y,team_who_won_turnover,turnover_method,mins,secs,quarter,num_passes_before_to,num_tackles_before_to,ireland_match_status,ireland_score,opponent_score
1,Wales,1,45,87,Ireland,kick,11,22,1,,,draw,0,0
1,Wales,2,37,14,Wales,penalty,14,19,1,,,winning,5,0
1,Wales,3,27,8,Ireland,lineout,15,19,1,,,winning,5,0
1,Wales,4,23,66,Ireland,kick,15,59,1,3,2,winning,5,0
1,Wales,5,45,35,Wales,kick,18,8,1,28,11,winning,5,0
1,Wales,6,56,66,Wales,tackle,19,12,1,3,1,winning,5,0
1,Wales,7,32,10,Ireland,kick,22,36,1,0,0,winning,12,0
1,Wales,8,55,69,Wales,tackle,23,54,1,16,9,winning,12,0
1,Wales,9,60,65,Ireland,kick,23,57,1,1,0,winning,12,0
1,Wales,10,33,13,Ireland,kick,26,13,1,,,winning,17,0
1,Wales,11,35,34,Ireland,tackle,31,43,1,6,5,winning,24,0
1,Wales,12,71,10,Wales,kick,33,3,2,7,4,winning,24,0
1,Wales,13,38,36,Ireland,scrum,34,22,2,,,winning,24,0
1,Wales,14,55,55,Ireland,knock-on,36,4,2,11,6,winning,24,0
1,Wales,15,46,51,Ireland,tackle,36,8,2,0,1,winning,24,0
1,Wales,16,74,3,Wales,lineout,36,47,2,5,3,winning,24,0
1,Wales,17,75,4,Ireland,lineout,39,4,2,0,0,winning,24,0
1,Wales,18,59,10,Wales,kick,42,32,2,2,1,winning,31,0
1,Wales,19,45,95,Ireland,lineout,43,4,2,7,2,winning,31,0
1,Wales,20,46,94,Wales,lineout,43,59,2,0,0,winning,31,0
1,Wales,21,37,95,Ireland,lineout,45,27,2,2,1,winning,31,0
1,Wales,22,63,10,Wales,kick,45,43,2,0,0,winning,31,0
1,Wales,23,37,8,Ireland,kick,45,48,2,1,0,winning,31,0
1,Wales,24,63,60,Wales,kick,45,56,2,,,winning,31,0
1,Wales,25,58,68,Ireland,penalty,46,4,2,,,winning,31,0
1,Wales,26,58,69,Ireland,tackle,46,5,2,,,winning,31,0
1,Wales,27,71,4,Ireland,lineout,49,56,2,1,2,winning,31,0
1,Wales,28,70,17,Wales,knock-on,50,37,2,0,0,winning,31,0
1,Wales,29,70,17,Ireland,knock-on,51,49,2,0,0,winning,31,0
1,Wales,30,78,44,Wales,knock-on,52,48,2,1,0,winning,31,0
1,Wales,31,62,94,Ireland,kick,53,8,2,2,1,winning,31,0
1,Wales,32,71,4,Wales,knock-on,53,41,2,7,3,winning,31,0
1,Wales,33,70,25,Wales,kick,69,47,3,0,0,winning,31,0
1,Wales,34,45,82,Wales,kick,70,3,3,2,2,winning,31,0
1,Wales,35,50,96,Ireland,kick,70,59,3,9,5,winning,31,0
1,Wales,36,30,38,Wales,knock-on,72,21,3,8,8,winning,31,0
1,Wales,37,31,36,Ireland,scrum,73,57,3,,,winning,31,0
1,Wales,38,27,52,Wales,tackle,76,25,3,13,12,winning,31,0
