Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Ireland,H10,conversion - miss ,13,51,70,14,-,-
Ireland,H15,try from turnover,12,47,85,13,-,-
Ireland,-,try origin,11,22,45,85,-,-
Ireland,-,kick turnover,11,22,45,87,-,-
Ireland,-,turnover won,11,22,45,86,-,-
Wales,-,turnover conceded,11,22,45,85,-,-
Wales,-,turnover won,14,19,37,12,-,-
Wales,-,turnover - penalty,14,19,37,14,-,-
Ireland,-,turnover conceded,14,19,37,14,-,-
Ireland,-,lineout turnover,15,19,27,8,-,-
Ireland,-,turnover won,15,19,26,9,-,-
Wales,-,turnover conceded,15,19,27,10,-,-
Ireland,-,turnover conceded,15,59,22,66,-,-
Ireland,-,kick turnover,15,59,23,66,-,-
Wales,-,turnover won,15,59,23,67,-,-
Wales,-,turnover conceded,18,8,44,33,-,-
Wales,-,kick turnover,18,8,45,35,-,-
Ireland,-,turnover won,18,8,23,31,-,-
Wales,-,turnover won,19,12,56,67,-,-
Wales,-,turnover tackle,19,12,56,66,-,-
Ireland,-,turnover conceded,19,12,56,67,-,-
Ireland,H11,try from scrum,21,18,86,51,-,-
Ireland,-,try origin,20,59,47,70,-,-
Ireland,H10,conversion - score,22,15,71,40,-,-
Wales,-,turnover conceded,22,31,59,28,-,-
Ireland,-,kick turnover,22,36,32,10,-,-
Ireland,-,turnover won,22,36,33,14,-,-
Wales,-,turnover tackle,23,54,55,69,-,-
Wales,-,turnover won,23,54,55,72,-,-
Ireland,-,turnover conceded,23,54,55,71,-,-
Ireland,-,turnover won,23,57,60,65,-,-
Ireland,-,kick turnover,23,57,60,65,-,-
Wales,-,turnover conceded,23,57,60,66,-,-
Ireland,-,try origin,23,56,59,68,-,-
Ireland,H11,try from turnover,24,37,86,19,-,-
Ireland,H10,conversion - miss ,25,45,69,10,-,-
Wales,-,turnover conceded,26,9,51,26,-,-
Ireland,-,turnover won,26,13,33,14,-,-
Ireland,-,kick turnover,26,13,33,13,-,-
Ireland,H15,try from lineout ,29,23,86,35,-,-
Ireland,-,try origin,28,58,51,10,-,-
Ireland,H10,conversion - score,30,28,70,25,-,-
Ireland,-,turnover won,31,43,34,35,-,-
Ireland,-,turnover tackle,31,43,35,34,-,-
Wales,-,turnover conceded,31,43,35,33,-,-
Wales,-,turnover won,33,3,71,11,-,-
Wales,-,kick turnover,33,3,71,10,-,-
Ireland,-,turnover conceded,32,58,41,28,-,-
Ireland,-,turnover won,34,22,38,34,-,-
Ireland,-,turnover scrum,34,22,38,36,-,-
Ireland,-,turnover - mispass,36,4,55,55,-,-
Ireland,-,turnover conceded,36,4,54,55,-,-
Ireland,-,turnover won,36,8,45,47,-,-
Ireland,-,turnover tackle,36,8,46,51,-,-
Wales,-,turnover conceded,36,8,45,46,-,-
Wales,-,lineout turnover,36,47,74,3,-,-
Wales,-,turnover won,36,47,75,4,-,-
Ireland,-,turnover won,39,4,75,4,-,-
Ireland,-,lineout turnover,39,4,75,4,-,-
Ireland,H12,try from scrum,40,52,86,72,-,-
Ireland,H12,try origin,40,47,77,57,-,-
Ireland,H10,conversion - score,41,44,70,69,-,-
Wales,-,turnover won,42,32,59,11,-,-
Wales,-,kick turnover,42,32,59,10,-,-
Ireland,-,turnover conceded,42,33,59,11,-,-
Ireland,-,turnover won,43,4,46,94,-,-
Ireland,-,lineout turnover,43,4,45,95,-,-
Wales,-,turnover conceded,43,4,47,95,-,-
Wales,-,turnover won,43,59,47,93,-,-
Wales,-,lineout turnover,43,59,46,94,-,-
Ireland,-,turnover conceded,43,59,46,94,-,-
Ireland,-,turnover won,45,27,37,94,-,-
Ireland,-,lineout turnover,45,27,37,95,-,-
Wales,-,turnover conceded,45,27,37,95,-,-
Wales,-,turnover won,45,43,63,12,-,-
Wales,-,kick turnover,45,43,63,10,-,-
Ireland,-,turnover conceded,45,43,63,10,-,-
Ireland,-,turnover won,45,48,37,9,-,-
Ireland,-,kick turnover,45,48,37,8,-,-
Wales,-,turnover conceded,45,48,37,8,-,-
Wales,-,turnover won,45,56,62,57,-,-
Wales,-,kick turnover,45,56,63,60,-,-
Ireland,-,turnover conceded,45,56,63,60,-,-
Ireland,-,turnover won,46,4,59,68,-,-
Ireland,-,turnover - penalty,46,4,58,68,-,-
Wales,-,turnover conceded,46,4,58,69,-,-
Ireland,-,turnover tackle,46,5,58,69,-,-
Ireland,-,lineout turnover,49,56,71,4,-,-
Ireland,-,turnover won,49,56,70,3,-,-
Wales,-,turnover conceded,49,56,71,3,-,-
Wales,-,turnover won,50,37,71,17,-,-
Wales,-,knock on turnover,50,37,70,17,-,-
Ireland,-,turnover conceded,50,37,70,17,-,-
